Description;Category
"Private individual is looking for a professional for consultancy and consequent development of a project on the Audino platform, specifically in the field of industrial machines.

We are only looking for professionals who speak the Italian language fluently.";Control Engineering
"Looking for specialists to assist with the development of an MVP for a new company.  We have a Product  Requirements Document (PRD). The system will need to integrate with common financial APIs to access bank, credit card, and other financial data. As such security and compliance will be an important part of any development effort. 

It would be very helpful if candidates had a working to high-level knowledge of finance and financial services and markets. Specifically the US. 

What we would like with any proposal is a work breakdown structure to support any proposed pricing. Demonstrated experience with financial APIs that can pull bank information, credit card information, and credit scores are required.  Also, a practical understanding of security and audit requirements as the business would likely be subject to security and audit review. 

Working with AI is also important as part of the product is a virtual agent tied to the customer and their needs. All of this is laid out in the PRD.

We are a new company with a limited budget so experience working with startups is required. Our goal is to build a working business so you will not be hearing about how we will be the next Uber, Unicorn etc as this is the real world.  Also, this has nothing to do with Crypto or Blockchain and we have no interest in that. 

 If we can find a developer (s) who can work with us the next step would be a mockup to be used in a market validation campaign. Once that is finished and we validate market interest full development would start. 

If the launch is successful and we raise additional capital this can become a long-term engagement.";FinTech
"Have a website with an iframe multistep form. 
No access to iframe source code - cant place GTM container there. 
I'm tracking iframe form submission at this moment - it sends events but nothing beyond that. I would like to enhance it. 

I want to track form steps when people fill them.

Website: mayflowersydney.com";Google Tag Manager
I am looking for someone that can implement a scraping solution on some of our local county websites into a Google Sheet. Pre-Foreclosures, Foreclosures, Probate, Tax Delinquents, Divorce, and Liens;Data Scraping
"We are seeking a full-time E-Commerce Account Manager to assist in Amazon and Walmart data analysis and reporting

The Account Manager will be responsible for daily and weekly reporting along with assisting the team in product management and analysis.  

Amazon Seller, Walmart Seller

Willing to train for this position.  
Annapolis, MD office

-Develop and manage campaigns to increase digital sales
-Create, maintain, optimize and improve our listings on various marketplaces to increase product rankings and sales
-Manage the products reviews on the marketplaces
-Analyze reports from marketplaces to translate insight and growth tactics
-Monitor KPIs (conversion rates, ROI, costs)
-Monitor and manage inventory levels, to include coordination with our plants
-Manage and optimize SEO and SEM strategies
-Report performance of all aspects of e-commerce initiatives

Preferred Requirements and Qualifications
-Bachelor’s Degree in Finance, Accounting, Marketing (Not Required)
-Advanced Excel and Reporting REQUIRED
-Analytical skills
-Great communication skills

Not all SKILLS are required. We are looking to build a team of diversity in all aspects of E-Commerce.  Willing to train!";Data Analysis
"I need to obtain raw hit - level data from Google Analytics which are something like
user_id, event_type, campaign_id, timestamp,

where event_type could be a click on a picture, page opening and scroll and campaign_id is a marketing source of the visit

Each row of a table is an event.

I suppose I want to obtain this data by API with python as a life feed and/or a history and to save into a database.

I will apply this technique with my client who is an e-commerce website, so API rate is a consideration.

I will use my website as a sandbox.

I expect you would explain to me on how to do this in a series of life video calls and share some of your code, if needed. I am a datascientest, python developer  and machine learning practitioner, so will cope with it.

Thank you!";Google Analytics
"Base of this 1 project which I've already implemented
https://github.com/kudawdev/nifi-monitoring-splunk


I would like to improve my spunk dashboard with new functions like:

1. Platform availability  , monitor in splunk dashboard   availability of the cluster and single instance - which I'm already doing in this moment

(image in attachment section)1. Platform availability.JPG

2. Data completeness - mean to verify the data/traffic which I can see only in Status History of the processor

in the image attached,  scenario ProcessGroupId ,componentIds , that number is  to take in considerations

(image in attachment section)2 Data completeness.jpg


3. Data Latency   (Average Lineage Duration)practically to have statistics which are in Nifi under Status History directly under Splunk dashboard   and view the data.

Example:
Average Lineage Duration  base of the host part of the clusters

In the image  is   marked th enumber I need to take in consideration
(image in attachment section) 3. Data Latency Average Lineage Duration.jpg

All this information can be obtained using interrogation of API

Idea is to use python script which interrogate API (using  nifi certificate)
generate a file /json which will be fetch from the host by splunk agent/forwarder

- python will be on every instance in the cluster.
- if one instance is down , maybe and.



My configuration are:
-  9 nifi instances in the  cluster
- Splunk 8 is enterprise and can't use Add one /due to multiple search head and multiple indexes  duplication data.
- I'm not using splunk HEC 

Please let me know if you need more informations";Splunk
"Hello!
We have a client who has Hubspot and Salesforce set up and synced already. We have a Hubspot dashboard and we want to build the same (or similar) dashboard in Salesforce. 

The information is already passed into Salesforce from Hubspot, but we need a dashboard for easy visualization. 

The dashboard currently includes: 
- A list of Current MQLs
- Number of contacts by lifecycle stage
- Campaigns by contacts created
- Contacts created by source

I've attached a screenshot of the Hubspot dashboard (with some sensitive information removed) so you can see what we are pulling now. 

Please respond with an approximate estimate of hours for this project. If you need more information to provide the estimate, please ask! Submissions without the hours estimate will not be considered for this project. 

Thanks!";Dashboard
"We need a true expert in data scraping.

We would prefer to have the script set up for us, we can get a small server if needed but if it will need a complex structure then we are ready to do a compromise for 1-time data extraction as well.

This is not a job for beginners.

We need this job to be completed in max 24 hrs

The website where the data is located has data protection in steps. the first step is to use the ""active"" filter on top of the list so that it will only give you the list of active people. (The website gives you this option to select the active members only)
The total number of records in the active list will be approx. 12000.


2nd step, click on the record, the record will open in a popup on the same screen, at the bottom of the popup there is going to be a link

3rd step, click the link, and then another popup will open with the details like name, email, phone number, and website. ""THIS RECORD IS IN THE IMAGE FORMAT"" that means it cannot be copied only by simply selecting it.

All the data from the image has to be extracted to excel";Data Scraping
"Ecomm business is looking for Data analysis person to dig into product margins, COGs, retail price testing for maximizing profitability. Pricing philosophy.
Also job entails looking into our raw goods manufacturing yields for our build of materials.
Data must be highly accurate.";Data Analysis
"Job Title: Web Scraper and Database Creator

Job Summary:
The Web Scraper and Database Creator will be responsible for designing and implementing web scraping tools to extract data from various sources, and building databases to organize and store the collected data. The scraper will work closely with cross-functional teams to understand data requirements and develop efficient and accurate web scraping processes. The scraper will also be responsible for maintaining and updating the databases, and ensuring that the data is accurate and up-to-date.

Key Responsibilities:
•	Develop and implement web scraping tools to extract data from various sources
•	Collaborate with cross-functional teams to understand data requirements and develop efficient and accurate web scraping processes
•	Write efficient and clean code to scrape web pages and extract data
•	Use automated tools to process large amounts of data quickly and accurately
•	Build and maintain databases to store the collected data
•	Ensure that the data is accurate, up-to-date, and organized in a user-friendly manner
•	Monitor and troubleshoot any issues with the web scraping tools or databases
•	Stay up-to-date with the latest web scraping and database technologies and best practices
•	Provide guidance and training to other team members on the use of web scraping tools and databases
Qualifications:
•	Bachelor's or Master's degree in computer science or a related field
•	3+ years of experience in web scraping and database creation
•	Proficiency in programming languages such as Python or Ruby
•	Experience with web scraping tools such as Beautiful Soup or Scrapy
•	Experience with database technologies such as MySQL or MongoDB
•	Strong analytical and problem-solving skills
•	Strong attention to detail and ability to work independently
•	Ability to work well under pressure and meet tight deadlines
•	Excellent communication and collaboration skills
•	Knowledge of data cleaning and processing techniques
•	Familiarity with big data and data analysis tools is a plus";Data Analysis
"We are a healthcare market research company in Boston and we often do qualitative and quantitative projects using the Qualtrics platform, and we need help with some of the larger, more complex surveys and projects --  especially with survey design, optimization, debugging, and data analytics.

We are also looking for someone to help integrate our survey data with a data visualization platform like Tableau for client reports.";Data Analysis
"Our team uses Excel for hours reporting and project tracking. The current sheet we use displays a forecast of hours available that our team consumes, and we enter data as we work to use that bucket of hours.

I'd like to significantly enhance the capabilities of this report. I'm looking for expertise on how to do this. I'd like to implement some pivot tables to better organize the data, as well as some charts to visualize.
When the actuals are entered, I'd like reports on overages, and how that impacts the remaining hours.
Some examples of the enhancements:
-Show hours by consultant
-Show hours by project
-Show hours by custom date range

While specialization in this project is preferred, I am looking for a long-term relationship so that I have someone to assist with future Excel projects that our organization requires.";Data Analysis
Research email addresses for healthcare businesses and post on a spreadsheet.;Data Mining
"Hello!

We have some Data in BigQuery table, we need to move them to another BigQuery table.
Also need to write some Queries that purges old Data periodically.

Admin,
Trayi Tech";BigQuery
"Hi talents, 
I am looking for a developer to write a crawler/script (preferably python scrapy) for the website glassdoor. The script should crawl job data from the site. It should work on a scale.
I need fields like full job description(this is mandatory), location, salary, job title, company, and job link/url.

Thanks";Data Scraping
An expert in R language is required who has extensive experience of working with r studio and know regression models. Further details will be provided once you submit a proposal as it's an educational task;Data Analysis
"We conducted a in person learning needs assessment:
That have resulted in 3 separate excel documents containing recorded data from 

Manager 9 tabs 
Supervisors 13 tabs
Front Line Employees 26 tabs 

I need help compiling and organizing the data with the goal of creating reports that can generate visuals of the results that will allow us to make decisions.";Data Analytics
"Hello, I am looking for someone to improve my google business setup. I need to do a bulk upload of business data (~55 business locations nationwide) including images. I need to set hours of operation, contact numbers, etc. I need training on future edits and updates.

Additionally, I need training, understanding, and recommendations for google analytics. I want to understand how to leverage google as a platform to generate sales & more.";Data Analysis
"TSI is a moving and shipping company that has 2 divisions: One provides small move and specialty shipping options to consumers and businesses.  The other provides moving and downsizing services for seniors and senior living communities.  We rely on data to help us make business decisions and are in need of some additional help and upgrades to the analytic platforms we use (or should be using). 

The TSI marketing team is looking for a well-rounded analytics consultant to help execute and educate us in a few areas of business intelligence and data analytics.  One objective will be to help transition and further educate us from Google Universal Analytics to GA4. Also provide recommendations and light training on other analytic platforms that might be helpful (ie: Tableau or Data Studios). We would look for this person to understand our general business model, important goals and KPIs.  Then be able to make recommendations and provide specific instructions on which data analytic platforms would best help us achieve our objectives and how. May require some hands on executing of said data analytics.   Some deliverables include:

1) Helping us with transition to GA4. 
*Currently using Universal Analytics
*GA4 is set up and tracking, but mostly just doing the basics. We need to expand and define it better and be ready when Unv GA shuts down.
*Specific deliverables for GA4
	- Setting up and tracking events and conversions
	- Pathing and funnel capabilities and reporting
	- Deeper dive into Exploration and how to create custom reports.  
	- Creating audiences and retargeting
	- Possible ecommerce exploration

2) Additional analytic platforms for combining and analyzing data
*We have multiple digital platforms running different programs and campaigns - paid search, email/automation campaigns, phone tracking, CRM data, etc.  
*Interested in bringing on additional platforms for analyzing data such as Tableau or Google Data Studio. Looking for input on which one is better and why. Or, is there another one out there that is better for us.

3) Knowledge of integrating with CRMs such as Salesforce or Netsuite desired.";Tableau
"We need help setting up Kobold AI with Pygmalion 6B as a base model , and using Kobold as an API into our application. We would prefer someone who can help deploy this on GCP / AWS or Vast.ai but its not a requirement.

Thanks!";Artificial Intelligence
Small matlab project with imaging processing with CNN;MATLAB
"I am interested in training a chatbot to offer suggestions on mushroom identification. I already have a database with species and characteristics. I am considering both text-based guided questions to help filter from a list of 1000 mushrooms, to a few options the user could consider, or possibly something more visual user photos and ""more like A or B"".

I don't know anything about creating these models, or what control I have in maintaining control over the improved models we create. I would like to hire someone to talk with me and possibly work up a very simple proof of concept.

I am open to candidates anywhere in the world but prefer you have availability to be online a few hours between 7am and 6pm US PST time.

You should have earned at least $1000 in previous Upwork projects";ChatGPT
"Looking for someone to pull a list of all companies from few Chamber of Commerce websites and then note their website address and email address

https://business.bethelmaine.com/list
http://business.oxfordhillsmaine.com/list/
https://www.visitmwv.com/service-directory";Data Scraping
"I am looking for an AI consultant.
I need to talk with an AI expert to discuss Deep Learning, Training for our project. 

What skill requires? 
- Fluent in English, 
- Deep knowledge about AI, deep learning, computer vision, tracking, training, 
- TrackNet, Detectron, Yolo frameworks.";Natural Language Processing
We are looking a data analyst to analyze HubSpot data currently saved to AWS Redshift.;Dashboard
"We are looking for an experienced data scientist who's super familiar chatgpt especially its open source alternatives such as GPT-J and GPT-Neo. Also, be familiar with preparing the clear structured training input data thru prompt engineering or other technologies. 

The ideal candidate should be able to present a demo of chatbot that he created before during the interview along with a total cost/timeline range.

Once hired, the idea is to train a simple compiled financial chatbot including creating APIs for a trading app to go thru the entire work flow. Then keep adding more training inputs to enhance the capability of the bot";Chatbot
Looking for an experienced GIS analyst to assist in renewable energy development exercises. You will be working with a small internal team to develop landowner identification maps, setback maps, and environmental constraints maps and other for our internal development pipeline and existing clients pipeline work. We develop both wind farms and solar farms. We are looking for a reliable contractor who can deliver maps quickly. If it is a good fit there is an opportunity to join the company for a full time position and the ability to grow with the company.;Data Science
"Hi all,
    We need to create an AWS EC2 instance which allows a remote user to upload a dataset (2-10 Mb), allows for  another user with access to the AWS server to interact with a GUI, and a then processed data to be downloadable by the external user while the instance is running. We have fully developed the internal data processing application which includes a python and matlab program which interact with each other. General tasks will be

- Creating a method/ sub program for a remote ""user"" to upload and download data that interacts or is generated by the program

- Create an AWS instance that efficiently uses GPUs for running the programs we've developed and allows us to internally interact with a pyqt GUI that the python program contains.

We're in a bit of a rush so the initial goals need to be met within a month but we're happy to continue work beyond the ask if the project is going well. I would be working directly with you for the majority of the time. Per ususal, the job requires the contractor enter into a non-disclosure agreement and sharing of the code outside of our organization will result in legal consequences.

 Many thanks";Amazon Web Services
"Hi there, 

We're working on automating mortgage underwriting. We have already pre-existing algorithms for rules from 52+ Banks. We'd like to combine conversational AI to bridge the gap between rigid rules and complex client cases.

If you have experience in this area - let's connect!";Data Science
"Looking for a Data Scientist who can work around Mexico's energy data, to help build a new dataset and data visualization tools for a new startup. The right candidate will be familiarized with Mexico's official statistics databases, and also will be able to extract business insights by creating a forecasting tool in Excel. Preference to use Tableau for this project, but open to other analytics tools, if necessary.  

This is a short-term contract, but there is potential for more work as we continue to grow as a company. 

Some of the tasks:

* Build data dashboards.
* Build data visualization for an audience of executives working in Mexico's energy sector.
* Organize large datasets. 
* Build an API. 

For those who are interested on this job, you can send your pitch in English or Spanish.";Data Visualization
"Develop and implement web scraping scripts to extract data from target websites.
    Monitor and troubleshoot web scraping scripts to ensure accurate and efficient data extraction.
    Analyze and interpret the collected data to generate insights and reports.
    Work closely with clients to understand their data requirements and deliver high-quality results.
    Stay up-to-date with the latest web scraping technologies and techniques.

Qualifications:

    Strong experience with web scraping tools and technologies, including Python, BeautifulSoup, and Scrapy.
    Proficiency in programming languages like Python, Java, or Ruby.
    Familiarity with data analysis and visualization tools, such as Excel, Tableau, or Power BI.
    Good communication and interpersonal skills to work with clients and team members effectively.
    Bachelor's or master's degree in Computer Science, Data Science, or a related field is preferred.";Data Scraping
"I have a list of 190 web addresses that I need the following information ethically extracted from: 

- All phone numbers (including contact name) 
- Email addresses (up to 4) 
- physical address";Data Scraping
Looking for someone who can help me with data science in finding a job.;Data Science
"We have an existing Abby Flexicapture environment, with roughly 80 different documents being scanned. Our expert resource left the company, and we are looking for a part-time expert to help us implement  changes to our Abby Flexicapture project. We have changes to existing forms that need to be programmed, and we would like to better leverage Flexicapture AI to train the software to better handle slight variations to forms. 

This is an exciting project, and may involve help re-architecting the entire Flexicapture project to migrate it from a Virtual Server to Abby Flexicapture Cloud. We look forward to meeting experts who can demonstrate deep knowledge of Flexicapture, and it's AI and Scanning capabilities.

Required Experience:
- Deep experience with Abby Flexicapture - Currently using version 12.0.2.3063
- Experience with Flexicapture APIs
- Troubleshooting experience - reading an existing Flexicapture project and helping identify why certain forms are failing

We are looking for immediate support, but may require someone for long term vision and strategy planning as we consider a move to Abby Flexicapture Cloud.";Data Extraction
"We are looking for someone to help us set up Google Analytics 4 and optimize how we are using this tool to understand our data. 

Success looks like: 
- Events and conversions are tracking our key web events [webinar registration, generating a lead, and purchasing the product]. 
- Dashboards quickly give us the data we are looking for. 

It's a bonus if you can also provide actionable insights via your own analysis of our data. That could also be a future scope of work once the set-up has been completed.";Operations Analytics
"I need a Tensorflow developer to update a small project from version v1.15 to the latest version. 

More information can be provided during the interviewing process. If you have done similar previous work and are able share it, please include it with your application.";Python
"I will provide all the content for page just need someone who is comfortablw with using wordpress to upload the changes

once thats done: need to add this page on:


Update the home page:
Remove fanquen its written 2x remove both i will send you logo instead
&
Social media icons at bottom of home page should lead to @fanqueen.models

make sure all the colour scheme matches, of text etc.


once thats done: need to add this page on:

fanqueen.vip/boost

page content:

Meet Our Marketing Partners (3d smiley face emoji)

Through Our Marketing Partnerships:
We have a worldwide monthly reach of 21Million+ users and growing!
Our models get access to marketing packages worth RRP $6,500 at no extra cost! (JOIN FOR FREE button)
Really!! Check out our partner testimonials:
https://www.lostteam.tv/   

^ use their testimonial video";Data Collection
track the object in the given video and generate the report has the location (x , y) of the object in each frame. Object can be specified by rectangular coordinates.;Machine Learning
"We need to get data from google maps for the UK market:

Name
Address 
Phone 
category
reviews score and nr of reviews 
Opening times 
Payment types accepted 

Could you help us with that?";Data Scraping
"We are seeking a highly skilled Data Science and Machine Learning Contractor to join our team and work on a women's health data tracking mobile application. As a Data Science and Machine Learning Contractor, you will play a key role in developing algorithms for predictions, analyzing user data and generating insights that will drive the success of the application.

Responsibilities:

Develop algorithms for predictions and analyze user data to generate insights that will drive the success of the application
Create models and algorithms that can accurately predict the user's menstrual cycle and symptoms based on their medical conditions
Work with both structured and unstructured data and be familiar with data storage and management technologies such as databases, data warehouses, and big data platforms
Use data visualization tools, such as Tableau or PowerBI, to help communicate the results of their analyses to stakeholders
Collaborate with the front-end and back-end development teams to ensure seamless integration of the application
Ensure the security and privacy of user data through encryption and other data protection measures
Stay current with industry trends and advancements in the field of data science and machine learning
Requirements:

Strong expertise in data processing and analysis, algorithm development, and machine learning
Familiarity with statistics and mathematical modeling
Knowledge of women's health and the specific data requirements of a menstrual cycle tracking application
Experience with data visualization tools, such as Tableau or PowerBI
Strong understanding of data security and privacy measures
Proficiency in JavaScript is a plus
Excellent communication and collaboration skills
Ability to work in a fast-paced, startup environment
If you are an experienced Data Science and Machine Learning Contractor with a passion for using data to drive business success, we would love to hear from you. 

Please apply with your resume and portfolio to be considered for this exciting opportunity.";Data Analysis
"We are looking for a talented and detail-oriented Analytics Specialist to help us migrate our web properties from Universal Analytics to GA4. There are about 15 websites altogether.

You will be responsible for updating our tracking codes, implementing Google Tag Manager, and ensuring that our data and analytics tracking are accurate and up-to-date with best digital marketing practices.

Responsibilities:
- Migrate our web properties from Universal Analytics to GA4
- Update tracking codes and implement Google Tag Manager
- Ensure accurate and up-to-date data and analytics tracking
- Collaborate with our development and marketing teams to ensure proper tracking is in place
- Troubleshoot any issues that arise during the migration process

Requirements:
- Experience with Google Analytics and Google Tag Manager
- Strong attention to detail and ability to troubleshoot issues
- Familiarity with web development and coding
- Excellent communication and collaboration skills
- Ability to work independently and meet deadlines

If you're passionate about analytics and excited to take on a new challenge, we'd love to hear from you! This is a freelance position with the potential for ongoing work.

To apply, please provide a cover letter highlighting your relevant experience and expertise, along with your resume and any relevant samples or work examples. We look forward to hearing from you!";Data Analysis
I have a large amount of data that needs to be scraped from an email archive export, placed into a database and then read from a website with search functionality. MySQL, AWS cloud storage, PHP, linux knowledge needed.;Data Extraction
"We are looking for someone to help us build a google sheet that is constantly scrapping property information from Zillow and in the future MLS in specific zip codes. This bot would crawl Zillow/MLS and other property listing sites to extract the information and input it into a google sheet.

This would include information like: Property address, asking price, square feet, beds, baths, etc

Here is a example google sheet: https://docs.google.com/spreadsheets/d/1n0pei8R8ArahwZkZtLZD6HYOgasj91R_CfsTQqFLDU0/edit?usp=sharing";Data Scraping
"We are looking for a highly skilled software engineer to develop a high-frequency trading bot for our financial services company. The ideal candidate should have experience in developing trading bots and be familiar with high-frequency trading strategies.

Responsibilities:
• Design, develop, and implement a high-frequency trading bot that can operate in real-time and execute trades quickly and accurately.
• Collaborate with our team of traders and analysts to implement and optimize trading strategies.
• Perform testing and debugging of the bot to ensure its stability, reliability, and accuracy.
• Monitor the performance of the bot and provide ongoing support to ensure its continuous operation.

Requirements:
• Bachelor's degree in Computer Science or related field.
• Proven experience in developing trading bots and using API to connect to financial exchanges.
• Strong proficiency in statically typed programming languages such as Rust or C++.
• Knowledge of high-frequency trading strategies and algorithms.
• Experience with data analysis and machine learning techniques is a plus.
• Strong problem-solving skills and attention to detail.
• Ability to work independently and as part of a team.

If you are passionate about high-frequency trading and have the skills and experience we are looking for, please apply for this exciting opportunity.";C++
We are looking for a top notch algorithmic trader who has a proven track record trading strategy for European power and gas futures contracts and/or Brent, WTI, Emissions.;Market Analysis
Looking for experienced data engineer to help with designing datawarehouse schema, ETL & performance tuning using Redshift & AWS Glue;AWS Glue
AWS Data Lake, glue, crawler assistance needed for a new and existing implementations;Data Lake
"We want to build a bot to vote 1 million times for Yiorgos Georgas, Suffern for this link

https://www.lohud.com/story/sports/high-school/lohud-wrestling/2023/02/13/vote-wrestling-lohud-wrestler-week-champions-edition/69897592007/

If you can have it ready immediately (next 30 -45 minutes) I will pay you 2x your rate.  Thank you";Data Scraping
I need a web scraper to gather data off a state ran website of new business formations to capture business name and contact info from individual web pages. Each page has a unique Biz ID code and also a unique URL. The data needs to flow into an excel sheet I can then do a mail merge from for mass email marketing, and phone numbers for follow up calls. In my mind this job is fairly simple but I'd like to talk through the specifics before starting.;Data Scraping
"I need someone help create a dashboard on Google Sheets to display specific data from my 2 sales channels:

- Shopify (data will be taken via API)
- External system (data can be updated via CSV)

Data I would like to see visualied is:

 Daily Sales (broken down by channel), Weekly Sales, Monthly Sales, Annual Sales
 Gross Sales / Net Sales
 Refund Analysis at product level
 Discounts used
 Margin
 Profit / Loss
 Average Order Value
 Best Sellers by time period

You must have experience in this type of work.";API Integration
"Hello,

We are looking professional Lead Generation and Data Collection expert for our project gyms fitness clubs of United State. 
Our Targets 1200 fitness club of United State. We need these club data from Yelp.com or other tool So, need all data find from using yelp, and any other paid or professional tools.

Require Data Of Fitness Clubs:
-Club Name
-Phone
-Website
-Address
-Founded
-Full Name
-Title Owner
-LinkedIn URL

Important Note:
We need 100% real data not fake and 90% data. If you not collect real data of targets site So, not apply on this job If you collect real data so, feel free for apply on this job.

Thanks,,
Laura";Data Entry
"Looking for an experienced and talented person to help our team on research projects using generative AI. The focus will be on using the Open AI stack to create models and programs to for specific tasks that aid end users. Candidates must have experience:

-With OpenAI API and methodologies 
-Training, fine-tuning, and improving open AI models for specific tasks
-Segmenting and normalizing textual data and code for use in tuning open AI
-Evaluating the quality of AI responses and advising on a strategy to improve them
-Advising and implementing supervised learning to improve AI models.

Experience with Weights and Biases a plus.";Data Science
"Looking for expert writers that are educated with their degree in Nutrition, Dietetics, Exercise Science, or a related area. We do prefer a Masters degree or above. Those with a Bachelors will be considered if the candidate can show demonstrated knowledge and experience in nutrition and dietetics.

You will write on an ongoing basis about Nutrition education.

This is an ongoing contract and we are looking for writers that can:
1.  Write a minimum of 3-5,000 word articles/pieces of content (long form, in depth)
2.  Write in Notepad or Notepad++ or a similar text editor (not Word)
3.  Be trained on SIMPLE HTML (we can advise and work with you on this!)
4.  Be timely, consistent
5.  Research appropriate sources (we will give direction) and colleges/programs that are within Nutrition, reviewing and writing in your own words, succinctly.
6.  Opportunity to be posted as a contributor on our website along with a headshot and writeup (you must first pass our editorial review and post articles to be considered as a contributor to our website)

How we see this working:
1. We will assign a specific article to you as we see fit, which will include the title, word count you should achieve, and outline to follow.  
2. You research and write the article in HTML, using our outline structure and we do allow you to add other heading tags or lists as you see fit to well-organize the document
3. You submit the article via Upwork messages";Data Analysis
"Job Title: Natural Language Processing Coach

Company Name: Colorado Mental Health Solutions

Location: Remote

Type: Contract

Pay: $100/wk (One 30min weekly zoom call Sunday afternoons)

About our company:

This is a healthcare initiative that strives to transform the industry by utilizing cutting-edge technology to detect symptoms of burnout among healthcare staff. Our team is committed to making a significant impact on employee well-being, retention, and healthcare costs. We're currently seeking top-tier individuals to join our remote team in Colorado and lead the charge towards our national expansion. 
The job is expected to last 7-15 weeks and will require you to provide high-quality, one-on-one training via zoom to our Colorado Advocacy Coordinator. You will be tasked with assisting in their professional development and will be expected to have weekly 30-minute phone calls to review progress and provide input based on strategic organizational goals. In addition, you will be expected to participate in high-priority calls with the coordinator during client communication to offer your expertise.

The jobs requires you to be available for 30 minutes for a zoom call every Sunday to give your input during the weekly sprint review & planning brief for 7-15 weeks.

About the role:
As an NLP Engineering Coach, you will play a crucial role in helping us become the leading provider of sentiment analysis technology for nonprofit hospitals in Colorado. The campaign will assist healthcare organizations struggling with employee burnout by developing and donating a state-of-the-art stress monitoring system. We are committed to making a difference and are offering a lifetime license with software updates to one nonprofit.

Our team of high-performing and dedicated individuals share a passion for combating mental health conditions such as MDD

Nice to have:
• Bachelor's or Master's degree in Computer Science, NLP or a related field
• 5+ years of experience in NLP engineering and software development 
• Strong understanding of NLP algorithms and techniques 
• Experience in data science and sentiment analysis 
• Excellent communication and interpersonal skills 
• Strong problem-solving skills and attention to detail 
• Ability to advise executives

As the NLP Engineering Coach, you will be accountable for providing the best, live, case-based advice to the Colorado Advocacy Coordinator and ensuring a smooth delivery. If the donation is successful, there is potential for future contracts and opportunities for growth as our team improves coordination and experience.

We are seeking individuals who are passionate about healthcare technology and dedicated to making a positive impact on well-being. If you are up for a challenging and rewarding role where you can work hard, compete and make a difference, we encourage you to apply.";Data Science
Looking for someone to help audit our marketing material to make sure everything complies with IIROC and Canadian securities commisions;Neural Network
"We are seeking a highly skilled Data Expert with experience in Google Analytics, Power BI, and Tableau to join our team. In this role, you will be responsible for analyzing and interpreting large amounts of data from various sources to provide insights and recommendations to our clients. You will be responsible for creating reports, dashboards, and visualizations that effectively communicate complex data to both technical and non-technical audiences.

Responsibilities:

Analyze large data sets from various sources, including Google Analytics, to identify trends, patterns, and insights.
Create reports and dashboards in Power BI and Tableau that effectively communicate complex data to technical and non-technical audiences.
Develop and implement data analysis strategies to identify areas for improvement and growth.
Collaborate with clients to define and refine business requirements for data analysis and visualization.
Manage data quality and integrity to ensure data accuracy and consistency.
Train and mentor junior team members on data analysis and visualization techniques.
Requirements:

Bachelor's degree in Data Analytics, Computer Science, or a related field.
At least 3 years of experience in data analysis, with a focus on Google Analytics, Power BI, and Tableau.
Proven ability to analyze and interpret large amounts of data and communicate findings effectively.
Strong skills in creating reports, dashboards, and visualizations in Power BI and Tableau.
Proficiency in SQL and data visualization tools.
Excellent problem-solving skills and attention to detail.
Strong communication and collaboration skills.
If you have a passion for data analysis and visualization, and experience in Google Analytics, Power BI, and Tableau, we encourage you to apply for this exciting opportunity. We offer a competitive salary, benefits package, and a supportive work environment that values creativity and innovation.";Data Analysis
"Hi there!

I need the data of a webshop that contains required books for certain studies.

A lists contains:
1. Book title
2. Author name
3. Title
4. ISBN

Here is an example:
https://www.studystore.nl/boekenlijst/Aeres-Hogeschool/2022/BL119148/Duurzame-Bedrijfskunde-Associate-Degree-Jaar-1

To learn how to get to the list I made a short video instruction.

A lists belongs to:
1. Hogeschool, universiteit, Studievereniging, overige
2. Name of education
3. Year
4. Sub title
5. sometimes other fields

I would be best to kick-off the project with a short Zoom call to give you further explanantion. Please, also see example Excel sheet, containing data from a similar webshop, to give you an idea of what the expected end result would look like.

Hoping to hear from you!

Mark";Data Scraping
"Hi there! Wir sind ein Mental Health Startup aus der Schweiz und suchen eine Person, die mittels Internet Scraping Kontaktdaten für uns zusammenträgt.

Ziel: Bestehende Kontaktliste mit Daten aus dem Internet ergänzen.

Ausgangslage: Wir haben bereits eine Kontaktdatenliste mit 3572 Leads, welche bei 1688 Firmen angstellt sind. Pro Firma sind jedoch nicht alle Mitarbeitende erfasst, sondern meistens nur die Entscheidungsträger.

Aufgabe: Du wirst die Firmen unserer Liste durchgehen (URL ist meistens vorhanden) und die fehlenden Mitarbeitenden nachtragen (sind meistens bei der ""Team"" Sektion auf der Webseite aufgeführt). Falls die E-Mail Adresse nicht auf der Website ersichtlich ist, muss diese im Internet gesucht werden (hohe Erfolgschance, weil Therapeuten ihre E-Mail Adresse oftmals öffentlich angeben). Wir rechnen damit, dass noch ca. 1800 Leads hinzugefügt werden müssen.

Falls Du Dich in der Aufgabe siehst und Du etwas im Mental Health Bereich bewirken willst, bist Du hier goldrichtig.

Gutes Deutsch wird vorausgesetzt.";Data Scraping
"We have analysed the 16S rRNA sequenced data (tables are available), and we need to plot the graphs of this data.
The project is about comparing the nasal microbiome composition between two types of nasal collections. 

If you are interested, please let me know to I can discuss this study in detail.

A million thanks.";Data Analysis
"Location: Remote

We are seeking a highly skilled web scraping expert to collect real-time data from the news website, CoinDesk. 

Once a news article is posted on this site, we should be able to have the headline and raw text of the article within seconds.

We need to make sure we do not get our IP blocked as well. This should be running 24/7";Data Scraping
